"Timestamp","Which part of the world have you spent most of your life in?","What motivates you to work?","Which out of these can be described as your desired end goal for life?","Which best describes paradise for you?","Which way would you best describe the event's that have taken place in your life?","Which of these do you desire the most?"
"2023/11/15 4:38:32 PM GMT","Asia","Money","Sense of Accomplishment","A genie offering you three wishes","Fortune","Riches"
"2023/11/15 4:40:28 PM GMT","Europe","Passion","Sense of Accomplishment","A world where you can do whatever you like","Purposful","all of the above xd"
"2023/11/15 4:40:32 PM GMT","Europe","Passion","Peace and Joy","A world filled with tropical islands everywhere","Purposful","peace"
"2023/11/15 4:40:32 PM GMT","Europe","Money","Peace and Joy","A genie offering you three wishes","No meaning","Love"
"2023/11/15 4:41:56 PM GMT","Asia","Vision","Peace and Joy","A world where you can do whatever you like","Fortune","Peace"
"2023/11/15 4:41:57 PM GMT","Europe","Money","Eternal Existance","A genie offering you three wishes","No meaning","Love"
"2023/11/15 4:46:38 PM GMT","Asia","Passion","Sense of Accomplishment","A world filled with tropical islands everywhere","Fortune","Riches"
"2023/11/15 4:54:10 PM GMT","Asia","Passion","Death","A world where you can do whatever you like","Fortune","Riches"
"2023/11/15 4:56:41 PM GMT","Europe","Passion","Sense of Accomplishment","peace, no war","Purposful","Creative fulfilment "
"2023/11/15 4:58:35 PM GMT","Asia","Passion","Peace and Joy","A world where you can do whatever you like","Purposful","Love"
"2023/11/15 5:02:51 PM GMT","Europe","Money","Sense of Accomplishment","A world where you can do whatever you like","Coincidence","Love"
"2023/11/15 5:05:26 PM GMT","Asia","Fear","Death","A world where you can do whatever you like","Fortune","Power"
"2023/11/15 7:53:49 PM GMT","Asia","Pressure","Eternal Existance","A genie offering you three wishes","No meaning","Love"
"2023/11/16 11:19:26 AM GMT","Africa","Passion","Peace and Joy","A world where you can do whatever you like","Purposful","Love"
"2023/11/16 12:04:09 PM GMT","Europe","Money","Eternal Existance","A world where you can do whatever you like","Purposful","Love"
"2023/11/16 12:09:45 PM GMT","Asia","Passion","Sense of Accomplishment","A world where you can do whatever you like","No meaning","Power"
"2023/11/16 1:25:21 PM GMT","Europe","Passion","the idea of Raz lives for ever","A genie offering you three wishes","Purposful","Riches"